year,recipient,sec_01_arms_transfer_tiv,sec_01_arms_transfer_tiv_delivered,sec_01_arms_transfer_orders_ct,sec_01_missing_transfer_tiv,sec_02_surveillance_usd,sec_02_surveillance_ct,sec_03_military_engagement_ct,sec_04_joint_exercise_ct,dev_01_currency_swap_line_extant,dev_01_currency_swap_usd,dev_02_infrastructure_usd,dev_02_infrastructure_ct,dev_03_fdi_usd,dev_03_fdi_derived_usd,dev_04_sez_usd,dev_04_sez_proj_ct,dev_04_sez_unique_site,civ_01_united_front_presence,civ_02_healthcare_usd,civ_02_healthcare_ct,civ_03_outbound_visits_ct,civ_03_inbound_visits_ct,civ_03_total_visits_ct,civ_04_csps_ct,civ_05_judicial_engagement_ct,civ_06_ci_ct,civ_06_cc_ct,civ_06_ci_cc_ct,lat,lon
1999,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,33.7680065,66.2385139
1999,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,24.4769288,90.2934413
1999,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,27.549511,90.5119273
1999,Brunei,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,4.4137155,114.5653908
1999,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,12.5433216,104.8144914
1999,North Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,40.3736611,127.0870417
1999,India,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,22.3511148,78.6677428
1999,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,-2.4833826,117.8902853
1999,Japan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,1,NA,0,0,0,36.5748441,139.2394179
1999,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,48.1012954,66.7780818
1999,Kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,41.5089324,74.724091
1999,Laos,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,20.0171109,103.378253
1999,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,4.5693754,102.2656823
1999,Maldives,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,3.7203503,73.2244152
1999,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,46.8250388,103.8499736
1999,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,17.1750495,95.9999652
1999,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,28.3780464,83.9999901
1999,Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,30.3308401,71.247499
1999,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,1,NA,0,0,0,14.5904492,120.9803621
1999,Russia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,64.6863136,97.7453061
1999,Singapore,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,1.357107,103.8194992
1999,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,36.638392,127.6961188
1999,Sri Lanka,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,7.5554942,80.7137847
1999,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,38.6281733,70.8156541
1999,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,14.8971921,100.83273
1999,Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,39.3763807,59.3924609
1999,Uzbekistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,41.32373,63.9528098
1999,Vietnam,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,15.9266657,107.9650855
2000,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,33.7680065,66.2385139
2000,Bangladesh,2.19,2.19,2,0,NA,NA,NA,NA,N,NA,318008144.9,3,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,24.4769288,90.2934413
2000,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,27.549511,90.5119273
2000,Brunei,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,4.4137155,114.5653908
2000,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,99853889.77,4,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,12.5433216,104.8144914
2000,North Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,40.3736611,127.0870417
2000,India,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,22.3511148,78.6677428
2000,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,1,NA,0,0,0,-2.4833826,117.8902853
2000,Japan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,36.5748441,139.2394179
2000,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,48.1012954,66.7780818
2000,Kyrgyzstan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,41.5089324,74.724091
2000,Laos,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,100576435.3,1,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,20.0171109,103.378253
2000,Malaysia,NA,NA,NA,NA,NA,NA,1,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,4.5693754,102.2656823
2000,Maldives,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,3.7203503,73.2244152
2000,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,121385352.9,2,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,46.8250388,103.8499736
2000,Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,1016902582,10,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,17.1750495,95.9999652
2000,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,21014587.23,1,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,28.3780464,83.9999901
2000,Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,9537420.589,2,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,30.3308401,71.247499
2000,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,14.5904492,120.9803621
2000,Russia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,64.6863136,97.7453061
2000,Singapore,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,1.357107,103.8194992
2000,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,36.638392,127.6961188
2000,Sri Lanka,22.9,22.9,2,0,NA,NA,NA,NA,N,NA,10335987.6,1,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,7.5554942,80.7137847
2000,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,38.6281733,70.8156541
2000,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,4286653.457,1,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,14.8971921,100.83273
2000,Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,39.3763807,59.3924609
2000,Uzbekistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,41.32373,63.9528098
2000,Vietnam,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,136653240.5,3,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,15.9266657,107.9650855
2001,Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,33.7680065,66.2385139
2001,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,897538035.7,3,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,24.4769288,90.2934413
2001,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,27.549511,90.5119273
2001,Brunei,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,4.4137155,114.5653908
2001,Cambodia,NA,NA,NA,NA,225042.0537,1,NA,NA,N,NA,31090273.78,4,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,12.5433216,104.8144914
2001,North Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,40.3736611,127.0870417
2001,India,NA,NA,NA,NA,NA,NA,1,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,22.3511148,78.6677428
2001,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,13594176.54,1,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,1,NA,0,0,0,-2.4833826,117.8902853
2001,Japan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,36.5748441,139.2394179
2001,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,48.1012954,66.7780818
2001,Kyrgyzstan,NA,NA,NA,NA,1359417.654,1,NA,NA,N,NA,50978162.01,2,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,41.5089324,74.724091
2001,Laos,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,20.0171109,103.378253
2001,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,4.5693754,102.2656823
2001,Maldives,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,3.7203503,73.2244152
2001,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,679708.8269,1,NA,NA,NA,0,NA,0,0,0,46.8250388,103.8499736
2001,Myanmar,30.5,30.5,2,0,NA,NA,NA,NA,N,NA,300449298,4,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,17.1750495,95.9999652
2001,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,115649133.3,2,NA,NA,NA,NA,NA,N,98455898.48,1,NA,NA,NA,0,NA,0,0,0,28.3780464,83.9999901
2001,Pakistan,527,527,2,0,NA,NA,1,NA,N,NA,557534393.4,6,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,30.3308401,71.247499
2001,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,98401370.79,1,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,14.5904492,120.9803621
2001,Russia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,64.6863136,97.7453061
2001,Singapore,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,1.357107,103.8194992
2001,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,36.638392,127.6961188
2001,Sri Lanka,42,42,1,0,NA,NA,NA,NA,N,NA,216693344,2,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,7.5554942,80.7137847
2001,Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,38.6281733,70.8156541
2001,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,14.8971921,100.83273
2001,Turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,10195632.4,2,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,39.3763807,59.3924609
2001,Uzbekistan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,843907.7013,1,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,41.32373,63.9528098
2001,Vietnam,NA,NA,NA,NA,NA,NA,1,NA,N,NA,10195632.4,1,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,15.9266657,107.9650855
2002,Afghanistan,NA,NA,NA,NA,4391675.456,1,NA,NA,N,NA,0,1,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,33.7680065,66.2385139
2002,Bangladesh,NA,NA,NA,NA,NA,NA,2,NA,N,NA,54051390.23,3,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,24.4769288,90.2934413
2002,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,27.549511,90.5119273
2002,Brunei,NA,NA,NA,NA,NA,NA,1,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,4.4137155,114.5653908
2002,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,185411732,3,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,12.5433216,104.8144914
2002,North Korea,NA,NA,NA,NA,NA,NA,1,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,0,40.3736611,127.0870417
2002,India,NA,NA,NA,NA,NA,NA,1,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,0,NA,0,0,0,22.3511148,78.6677428
2002,Indonesia,NA,NA,NA,NA,NA,NA,2,NA,N,NA,0,1,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,-2.4833826,117.8902853
2002,Japan,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,36.5748441,139.2394179
2002,Kazakhstan,NA,NA,NA,NA,337821.1889,1,2,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,N,0,1,NA,NA,NA,0,NA,0,0,0,48.1012954,66.7780818
2002,Kyrgyzstan,NA,NA,NA,NA,NA,NA,1,1,N,NA,0,1,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,0,NA,0,0,0,41.5089324,74.724091
